Wb,Hb,count,percent,bucket_area,mean_overhead,mean_area,examples
4,10,7,0.536398,40,1.201058,34.000000,017c7c7b;6430c8c4;662c240a;8d5021e8;99b1bc43
12,15,7,0.536398,180,1.118025,162.000000,45737921;62ab2642;6d75e8bb;72a961c9;Copy5
20,12,7,0.536398,240,1.137881,213.571429,3391f8c0;42a15761;60d73be6;97c75046;ExtractObjects10
20,24,7,0.536398,480,1.089703,443.428571,0e206a2e;58e15b12;652646ff;80214e03;97a05b5b
4,6,6,0.459770,24,1.833333,17.166667,4c4377d9;6fa7a44f;833966f4;8be77c9e;aedd82e4
8,6,6,0.459770,48,1.180952,41.333333,0c786b71;1b2d62fb;3af2c5a8;6d1d5c90;a416b8f3
12,6,6,0.459770,72,1.084848,67.166667,29c11459;3ac3eb23;Copy1;aa18de87;b5bb5719
10,15,6,0.459770,150,1.085979,138.500000,025d127b;05f2a901;5207a7b5;82819916;90f3ed37
12,20,6,0.459770,240,1.235740,195.166667,18447a8d;20fb2937;93b4f4b3;TopBottom2D4;d0f5fe59
12,4,5,0.383142,48,2.012121,29.200000,234bbc79;59341089;8e5a5113;Center2;d017b73f
10,6,5,0.383142,60,1.200000,50.400000,34b99a2b;5d2a5c43;746b3537;760b3cac;ed74f2f2
15,6,5,0.383142,90,1.187692,76.600000,195ba7dc;2dee498d;InsideOutside7;Order3;d8c310e9
12,8,5,0.383142,96,1.116883,86.800000,54d82841;54d9e175;8fbca751;CopyMinimal;e6de6e8f
8,4,4,0.306513,32,1.297619,25.500000,0520fde7;e133d23d;e345f17b;f2829549
10,4,4,0.306513,40,1.259259,32.250000,17cae0c1;2de01db2;8ba14f53;bbb1b8b6
6,10,4,0.306513,60,1.183333,51.250000,496994bd;506d28a5;a3df8b1e;e179c5f4
15,4,4,0.306513,60,1.071429,56.000000,62b74c02;66f2d22f;995c5fa3;cf98881b
8,10,4,0.306513,80,1.130952,71.250000,12eac192;9b30e358;c4d1a9ae;fc754716
20,4,4,0.306513,80,1.297472,64.500000,281123b4;ba26e723;bc4146bd;d406998b
20,6,4,0.306513,120,1.289216,95.000000,25c199f5;337b420f;5ecac7f7;963e52fc
6,8,3,0.229885,48,1.095238,44.000000,6f8cd79b;8618d23e;Center10
6,15,3,0.229885,90,1.246154,72.666667,3428a4f5;6a11f6da;770cc55f
8,12,3,0.229885,96,1.030303,93.333333,73c3b0d8;beb8660c;d10ecb37
8,15,3,0.229885,120,1.181319,102.333333,12422b43;Order8;TopBottom3D7
30,4,3,0.229885,120,1.326437,94.000000,3eda0437;72207abc;7447852a
20,10,3,0.229885,200,1.037037,193.333333,97d7923e;825aa9e9;FilledNotFilled7
30,10,3,0.229885,300,1.214815,248.333333,84551f4c;MoveToBoundary10;d749d46f
24,15,3,0.229885,360,1.082497,334.666667,5d588b4d;Order1;b782dc8a
30,15,3,0.229885,450,1.182458,381.333333,5545f144;9841fdad;InsideOutside5
6,12,2,0.153257,72,1.100000,66.000000,3d31c5b3;bd4472b8
10,8,2,0.153257,80,1.206349,66.500000,8abad3cf;d90796e8
15,8,2,0.153257,120,1.183673,101.500000,30f42897;dd2401ed
24,6,2,0.153257,144,1.142857,126.000000,Order5;Order7
20,8,2,0.153257,160,1.172269,139.500000,4c3d4a41;817e6c09
24,8,2,0.153257,192,1.174800,165.500000,Order4;SameDifferent10
30,8,2,0.153257,240,1.221429,199.500000,7491f3cf;9b365c51
12,24,2,0.153257,288,1.140599,252.500000,412b6263;673ef223
30,12,2,0.153257,360,1.129870,319.000000,3bdb4ada;dce56571
15,30,2,0.153257,450,1.176923,382.500000,3d6c6e23;f3e14006
4,8,1,0.076628,32,1.000000,32.000000,94f9d214
4,12,1,0.076628,48,1.000000,48.000000,d19f7514
4,15,1,0.076628,60,1.153846,52.000000,0c9aba6e
4,20,1,0.076628,80,1.481481,54.000000,Order9
6,24,1,0.076628,144,1.309091,110.000000,22a4bbc2
10,20,1,0.076628,200,1.000000,200.000000,edcc2ff0
24,10,1,0.076628,240,1.142857,210.000000,d47aa2ff
24,12,1,0.076628,288,1.142857,252.000000,16de56c4
