task_id,path,W,H,Wb,Hb,rotated,area,bucket_area,overhead,fill_deficit,Wb4,Hb4,bucket_area4,overhead4,Wb8,Hb8,bucket_area8,overhead8,Wb4sq,Hb4sq,bucket_area4sq,overhead4sq,inputs_unique_sizes,outputs_unique_sizes,inputs_uniform,outputs_uniform
269e22fb,dataset/raw-data/ARC-ALL/data/evaluation/269e22fb.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,5,1,0,1
271d71e2,dataset/raw-data/ARC-ALL/data/evaluation/271d71e2.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,4,4,0,0
28a6681f,dataset/raw-data/ARC-ALL/data/evaluation/28a6681f.json,10,10,10,10,0,100,100,1.000000,0.888889,12,12,144,1.440000,16,16,256,2.560000,12,12,144,1.440000,1,1,1,1
291dc1e1,dataset/raw-data/ARC-ALL/data/evaluation/291dc1e1.json,28,28,30,30,0,784,900,1.147959,0.128889,28,28,784,1.000000,32,32,1024,1.306122,28,28,784,1.000000,5,5,0,0
2b83f449,dataset/raw-data/ARC-ALL/data/evaluation/2b83f449.json,19,19,20,20,0,361,400,1.108033,0.598889,20,20,400,1.108033,24,24,576,1.595568,20,20,400,1.108033,3,3,0,0
2ba387bc,dataset/raw-data/ARC-ALL/data/evaluation/2ba387bc.json,24,24,24,24,0,576,576,1.000000,0.360000,24,24,576,1.000000,24,24,576,1.000000,24,24,576,1.000000,5,3,0,0
2c181942,dataset/raw-data/ARC-ALL/data/evaluation/2c181942.json,26,24,30,24,0,624,720,1.153846,0.306667,28,24,672,1.076923,32,32,1024,1.641026,28,28,784,1.256410,4,4,0,0
2d0172a1,dataset/raw-data/ARC-ALL/data/evaluation/2d0172a1.json,25,25,30,30,0,625,900,1.440000,0.305556,28,28,784,1.254400,32,32,1024,1.638400,28,28,784,1.254400,3,6,0,0
31f7f899,dataset/raw-data/ARC-ALL/data/evaluation/31f7f899.json,17,17,20,20,0,289,400,1.384083,0.678889,20,20,400,1.384083,24,24,576,1.993080,20,20,400,1.384083,4,4,0,0
332f06d7,dataset/raw-data/ARC-ALL/data/evaluation/332f06d7.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,5,5,0,0
35ab12c3,dataset/raw-data/ARC-ALL/data/evaluation/35ab12c3.json,21,21,24,24,0,441,576,1.306122,0.510000,24,24,576,1.306122,24,24,576,1.306122,24,24,576,1.306122,4,4,0,0
36a08778,dataset/raw-data/ARC-ALL/data/evaluation/36a08778.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,8,8,0,0
38007db0,dataset/raw-data/ARC-ALL/data/evaluation/38007db0.json,29,29,30,30,0,841,900,1.070155,0.065556,32,32,1024,1.217598,32,32,1024,1.217598,32,32,1024,1.217598,4,3,0,0
3a25b0d8,dataset/raw-data/ARC-ALL/data/evaluation/3a25b0d8.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,4,0,0
3dc255db,dataset/raw-data/ARC-ALL/data/evaluation/3dc255db.json,13,12,15,12,0,156,180,1.153846,0.826667,16,12,192,1.230769,16,16,256,1.641026,16,16,256,1.641026,3,3,0,0
3e6067c3,dataset/raw-data/ARC-ALL/data/evaluation/3e6067c3.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,5,5,0,0
409aa875,dataset/raw-data/ARC-ALL/data/evaluation/409aa875.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,1,1,1,1
446ef5d2,dataset/raw-data/ARC-ALL/data/evaluation/446ef5d2.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,4,4,0,0
45a5af55,dataset/raw-data/ARC-ALL/data/evaluation/45a5af55.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,3,2,0,0
4a21e3da,dataset/raw-data/ARC-ALL/data/evaluation/4a21e3da.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,2,2,0,0
4c3d4a41,dataset/raw-data/ARC-ALL/data/evaluation/4c3d4a41.json,20,8,20,8,0,160,160,1.000000,0.822222,20,8,160,1.000000,24,24,576,3.600000,20,20,400,2.500000,1,1,1,1
4c416de3,dataset/raw-data/ARC-ALL/data/evaluation/4c416de3.json,23,23,24,24,0,529,576,1.088847,0.412222,24,24,576,1.088847,24,24,576,1.088847,24,24,576,1.088847,3,3,0,0
4c7dc4dd,dataset/raw-data/ARC-ALL/data/evaluation/4c7dc4dd.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,3,1,0
4e34c42c,dataset/raw-data/ARC-ALL/data/evaluation/4e34c42c.json,25,30,30,30,0,750,900,1.200000,0.166667,28,32,896,1.194667,32,32,1024,1.365333,32,32,1024,1.365333,4,4,0,0
53fb4810,dataset/raw-data/ARC-ALL/data/evaluation/53fb4810.json,18,25,20,30,0,450,600,1.333333,0.500000,20,28,560,1.244444,32,32,1024,2.275556,28,28,784,1.742222,3,3,0,0
5545f144,dataset/raw-data/ARC-ALL/data/evaluation/5545f144.json,27,15,30,15,0,405,450,1.111111,0.550000,28,16,448,1.106173,32,32,1024,2.528395,28,28,784,1.935802,4,4,0,0
581f7754,dataset/raw-data/ARC-ALL/data/evaluation/581f7754.json,22,22,24,24,0,484,576,1.190083,0.462222,24,24,576,1.190083,24,24,576,1.190083,24,24,576,1.190083,5,5,0,0
58490d8a,dataset/raw-data/ARC-ALL/data/evaluation/58490d8a.json,25,23,30,24,0,575,720,1.252174,0.361111,28,24,672,1.168696,32,32,1024,1.780870,28,28,784,1.363478,4,4,0,0
58f5dbd5,dataset/raw-data/ARC-ALL/data/evaluation/58f5dbd5.json,23,19,24,20,0,437,480,1.098398,0.514444,24,20,480,1.098398,24,24,576,1.318078,24,24,576,1.318078,2,4,0,0
5961cc34,dataset/raw-data/ARC-ALL/data/evaluation/5961cc34.json,27,27,30,30,0,729,900,1.234568,0.190000,28,28,784,1.075446,32,32,1024,1.404664,28,28,784,1.075446,4,4,0,0
5dbc8537,dataset/raw-data/ARC-ALL/data/evaluation/5dbc8537.json,25,25,30,30,0,625,900,1.440000,0.305556,28,28,784,1.254400,32,32,1024,1.638400,28,28,784,1.254400,3,4,0,0
62593bfd,dataset/raw-data/ARC-ALL/data/evaluation/62593bfd.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,4,4,0,0
64efde09,dataset/raw-data/ARC-ALL/data/evaluation/64efde09.json,29,29,30,30,0,841,900,1.070155,0.065556,32,32,1024,1.217598,32,32,1024,1.217598,32,32,1024,1.217598,3,3,0,0
65b59efc,dataset/raw-data/ARC-ALL/data/evaluation/65b59efc.json,30,25,30,30,0,750,900,1.200000,0.166667,32,28,896,1.194667,32,32,1024,1.365333,32,32,1024,1.365333,4,3,0,0
67e490f4,dataset/raw-data/ARC-ALL/data/evaluation/67e490f4.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,3,1,0
6e453dd6,dataset/raw-data/ARC-ALL/data/evaluation/6e453dd6.json,16,25,20,30,0,400,600,1.500000,0.555556,16,28,448,1.120000,32,32,1024,2.560000,28,28,784,1.960000,4,4,0,0
6e4f6532,dataset/raw-data/ARC-ALL/data/evaluation/6e4f6532.json,28,30,30,30,0,840,900,1.071429,0.066667,28,32,896,1.066667,32,32,1024,1.219048,32,32,1024,1.219048,4,4,0,0
6ffbe589,dataset/raw-data/ARC-ALL/data/evaluation/6ffbe589.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,1,2,1,0
71e489b6,dataset/raw-data/ARC-ALL/data/evaluation/71e489b6.json,19,19,20,20,0,361,400,1.108033,0.598889,20,20,400,1.108033,24,24,576,1.595568,20,20,400,1.108033,3,3,0,0
7491f3cf,dataset/raw-data/ARC-ALL/data/evaluation/7491f3cf.json,25,7,30,8,0,175,240,1.371429,0.805556,28,8,224,1.280000,32,32,1024,5.851429,28,28,784,4.480000,1,1,1,1
7666fa5d,dataset/raw-data/ARC-ALL/data/evaluation/7666fa5d.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,1,1,1,1
78332cb0,dataset/raw-data/ARC-ALL/data/evaluation/78332cb0.json,23,23,24,24,0,529,576,1.088847,0.412222,24,24,576,1.088847,24,24,576,1.088847,24,24,576,1.088847,4,4,0,0
7b0280bc,dataset/raw-data/ARC-ALL/data/evaluation/7b0280bc.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,4,4,0,0
7b3084d4,dataset/raw-data/ARC-ALL/data/evaluation/7b3084d4.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,1,4,1,0
7b5033c1,dataset/raw-data/ARC-ALL/data/evaluation/7b5033c1.json,16,25,20,30,0,400,600,1.500000,0.555556,16,28,448,1.120000,32,32,1024,2.560000,28,28,784,1.960000,1,3,1,0
7b80bb43,dataset/raw-data/ARC-ALL/data/evaluation/7b80bb43.json,30,29,30,30,0,870,900,1.034483,0.033333,32,32,1024,1.177011,32,32,1024,1.177011,32,32,1024,1.177011,3,3,0,0
7c66cb00,dataset/raw-data/ARC-ALL/data/evaluation/7c66cb00.json,24,30,24,30,0,720,720,1.000000,0.200000,24,32,768,1.066667,32,32,1024,1.422222,32,32,1024,1.422222,1,1,1,1
7ed72f31,dataset/raw-data/ARC-ALL/data/evaluation/7ed72f31.json,28,28,30,30,0,784,900,1.147959,0.128889,28,28,784,1.000000,32,32,1024,1.306122,28,28,784,1.000000,2,2,0,0
800d221b,dataset/raw-data/ARC-ALL/data/evaluation/800d221b.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,4,4,0,0
80a900e0,dataset/raw-data/ARC-ALL/data/evaluation/80a900e0.json,30,24,30,24,0,720,720,1.000000,0.200000,32,24,768,1.066667,32,32,1024,1.422222,32,32,1024,1.422222,3,3,0,0
8698868d,dataset/raw-data/ARC-ALL/data/evaluation/8698868d.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,2,3,0,0
88bcf3b4,dataset/raw-data/ARC-ALL/data/evaluation/88bcf3b4.json,27,27,30,30,0,729,900,1.234568,0.190000,28,28,784,1.075446,32,32,1024,1.404664,28,28,784,1.075446,7,7,0,0
88e364bc,dataset/raw-data/ARC-ALL/data/evaluation/88e364bc.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,1,1,1,1
89565ca0,dataset/raw-data/ARC-ALL/data/evaluation/89565ca0.json,30,29,30,30,0,870,900,1.034483,0.033333,32,32,1024,1.177011,32,32,1024,1.177011,32,32,1024,1.177011,3,4,0,0
898e7135,dataset/raw-data/ARC-ALL/data/evaluation/898e7135.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
8b7bacbf,dataset/raw-data/ARC-ALL/data/evaluation/8b7bacbf.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,6,6,0,0
8b9c3697,dataset/raw-data/ARC-ALL/data/evaluation/8b9c3697.json,27,23,30,24,0,621,720,1.159420,0.310000,28,24,672,1.082126,32,32,1024,1.648953,28,28,784,1.262480,2,2,0,0
8e5c0c38,dataset/raw-data/ARC-ALL/data/evaluation/8e5c0c38.json,22,22,24,24,0,484,576,1.190083,0.462222,24,24,576,1.190083,24,24,576,1.190083,24,24,576,1.190083,1,1,1,1
8f215267,dataset/raw-data/ARC-ALL/data/evaluation/8f215267.json,23,27,24,30,0,621,720,1.159420,0.310000,24,28,672,1.082126,32,32,1024,1.648953,28,28,784,1.262480,3,3,0,0
8f3a5a89,dataset/raw-data/ARC-ALL/data/evaluation/8f3a5a89.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,4,4,0,0
9385bd28,dataset/raw-data/ARC-ALL/data/evaluation/9385bd28.json,19,19,20,20,0,361,400,1.108033,0.598889,20,20,400,1.108033,24,24,576,1.595568,20,20,400,1.108033,5,5,0,0
97d7923e,dataset/raw-data/ARC-ALL/data/evaluation/97d7923e.json,20,10,20,10,0,200,200,1.000000,0.777778,20,12,240,1.200000,24,24,576,2.880000,20,20,400,2.000000,3,3,0,0
981571dc,dataset/raw-data/ARC-ALL/data/evaluation/981571dc.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,1,1,1
9aaea919,dataset/raw-data/ARC-ALL/data/evaluation/9aaea919.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,1,1,1
9bbf930d,dataset/raw-data/ARC-ALL/data/evaluation/9bbf930d.json,21,23,24,24,0,483,576,1.192547,0.463333,24,24,576,1.192547,24,24,576,1.192547,24,24,576,1.192547,3,3,0,0
a251c730,dataset/raw-data/ARC-ALL/data/evaluation/a251c730.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,3,1,0
a25697e4,dataset/raw-data/ARC-ALL/data/evaluation/a25697e4.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
a32d8b75,dataset/raw-data/ARC-ALL/data/evaluation/a32d8b75.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,2,3,0,0
a395ee82,dataset/raw-data/ARC-ALL/data/evaluation/a395ee82.json,22,22,24,24,0,484,576,1.190083,0.462222,24,24,576,1.190083,24,24,576,1.190083,24,24,576,1.190083,1,1,1,1
a47bf94d,dataset/raw-data/ARC-ALL/data/evaluation/a47bf94d.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,3,3,0,0
a6f40cea,dataset/raw-data/ARC-ALL/data/evaluation/a6f40cea.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,4,4,0,0
aa4ec2a5,dataset/raw-data/ARC-ALL/data/evaluation/aa4ec2a5.json,27,28,30,30,0,756,900,1.190476,0.160000,28,28,784,1.037037,32,32,1024,1.354497,28,28,784,1.037037,4,4,0,0
abc82100,dataset/raw-data/ARC-ALL/data/evaluation/abc82100.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,4,4,0,0
b0039139,dataset/raw-data/ARC-ALL/data/evaluation/b0039139.json,29,26,30,30,0,754,900,1.193634,0.162222,32,28,896,1.188329,32,32,1024,1.358090,32,32,1024,1.358090,6,6,0,0
b10624e5,dataset/raw-data/ARC-ALL/data/evaluation/b10624e5.json,27,27,30,30,0,729,900,1.234568,0.190000,28,28,784,1.075446,32,32,1024,1.404664,28,28,784,1.075446,1,1,1,1
b5ca7ac4,dataset/raw-data/ARC-ALL/data/evaluation/b5ca7ac4.json,22,22,24,24,0,484,576,1.190083,0.462222,24,24,576,1.190083,24,24,576,1.190083,24,24,576,1.190083,1,1,1,1
b6f77b65,dataset/raw-data/ARC-ALL/data/evaluation/b6f77b65.json,12,12,12,12,0,144,144,1.000000,0.840000,12,12,144,1.000000,16,16,256,1.777778,12,12,144,1.000000,1,1,1,1
b99e7126,dataset/raw-data/ARC-ALL/data/evaluation/b99e7126.json,29,29,30,30,0,841,900,1.070155,0.065556,32,32,1024,1.217598,32,32,1024,1.217598,32,32,1024,1.217598,1,1,1,1
b9e38dc0,dataset/raw-data/ARC-ALL/data/evaluation/b9e38dc0.json,19,18,20,20,0,342,400,1.169591,0.620000,20,20,400,1.169591,24,24,576,1.684211,20,20,400,1.169591,4,4,0,0
bf45cf4b,dataset/raw-data/ARC-ALL/data/evaluation/bf45cf4b.json,25,25,30,30,0,625,900,1.440000,0.305556,28,28,784,1.254400,32,32,1024,1.638400,28,28,784,1.254400,3,4,0,0
c4d067a0,dataset/raw-data/ARC-ALL/data/evaluation/c4d067a0.json,27,27,30,30,0,729,900,1.234568,0.190000,28,28,784,1.075446,32,32,1024,1.404664,28,28,784,1.075446,2,2,0,0
c7f57c3e,dataset/raw-data/ARC-ALL/data/evaluation/c7f57c3e.json,28,28,30,30,0,784,900,1.147959,0.128889,28,28,784,1.000000,32,32,1024,1.306122,28,28,784,1.000000,2,2,0,0
cb2d8a2c,dataset/raw-data/ARC-ALL/data/evaluation/cb2d8a2c.json,26,29,30,30,0,754,900,1.193634,0.162222,28,32,896,1.188329,32,32,1024,1.358090,32,32,1024,1.358090,6,6,0,0
cbebaa4b,dataset/raw-data/ARC-ALL/data/evaluation/cbebaa4b.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,2,2,0,0
d35bdbdc,dataset/raw-data/ARC-ALL/data/evaluation/d35bdbdc.json,10,10,10,10,0,100,100,1.000000,0.888889,12,12,144,1.440000,16,16,256,2.560000,12,12,144,1.440000,1,1,1,1
d59b0160,dataset/raw-data/ARC-ALL/data/evaluation/d59b0160.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,1,1,1,1
d8e07eb2,dataset/raw-data/ARC-ALL/data/evaluation/d8e07eb2.json,22,30,24,30,0,660,720,1.090909,0.266667,24,32,768,1.163636,32,32,1024,1.551515,32,32,1024,1.551515,1,1,1,1
da515329,dataset/raw-data/ARC-ALL/data/evaluation/da515329.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,4,4,0,0
db0c5428,dataset/raw-data/ARC-ALL/data/evaluation/db0c5428.json,19,19,20,20,0,361,400,1.108033,0.598889,20,20,400,1.108033,24,24,576,1.595568,20,20,400,1.108033,4,4,0,0
db695cfb,dataset/raw-data/ARC-ALL/data/evaluation/db695cfb.json,21,25,24,30,0,525,720,1.371429,0.416667,24,28,672,1.280000,32,32,1024,1.950476,28,28,784,1.493333,6,6,0,0
dbff022c,dataset/raw-data/ARC-ALL/data/evaluation/dbff022c.json,15,13,15,15,0,195,225,1.153846,0.783333,16,16,256,1.312821,16,16,256,1.312821,16,16,256,1.312821,4,4,0,0
dd6b8c4b,dataset/raw-data/ARC-ALL/data/evaluation/dd6b8c4b.json,11,11,12,12,0,121,144,1.190083,0.865556,12,12,144,1.190083,16,16,256,2.115702,12,12,144,1.190083,1,1,1,1
de809cff,dataset/raw-data/ARC-ALL/data/evaluation/de809cff.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,2,2,0,0
dfadab01,dataset/raw-data/ARC-ALL/data/evaluation/dfadab01.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,2,2,0,0
e12f9a14,dataset/raw-data/ARC-ALL/data/evaluation/e12f9a14.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,5,5,0,0
e3721c99,dataset/raw-data/ARC-ALL/data/evaluation/e3721c99.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,1,1,1,1
e376de54,dataset/raw-data/ARC-ALL/data/evaluation/e376de54.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,1,1,1,1
e8686506,dataset/raw-data/ARC-ALL/data/evaluation/e8686506.json,15,15,15,15,0,225,225,1.000000,0.750000,16,16,256,1.137778,16,16,256,1.137778,16,16,256,1.137778,2,2,0,0
e87109e9,dataset/raw-data/ARC-ALL/data/evaluation/e87109e9.json,24,30,24,30,0,720,720,1.000000,0.200000,24,32,768,1.066667,32,32,1024,1.422222,32,32,1024,1.422222,2,2,0,0
edb79dae,dataset/raw-data/ARC-ALL/data/evaluation/edb79dae.json,30,30,30,30,0,900,900,1.000000,0.000000,32,32,1024,1.137778,32,32,1024,1.137778,32,32,1024,1.137778,3,3,0,0
eee78d87,dataset/raw-data/ARC-ALL/data/evaluation/eee78d87.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,1,1,1,1
f560132c,dataset/raw-data/ARC-ALL/data/evaluation/f560132c.json,26,26,30,30,0,676,900,1.331361,0.248889,28,28,784,1.159763,32,32,1024,1.514793,28,28,784,1.159763,2,3,0,0
f931b4a8,dataset/raw-data/ARC-ALL/data/evaluation/f931b4a8.json,16,16,20,20,0,256,400,1.562500,0.715556,16,16,256,1.000000,16,16,256,1.000000,16,16,256,1.000000,3,6,0,0
faa9f03d,dataset/raw-data/ARC-ALL/data/evaluation/faa9f03d.json,12,12,12,12,0,144,144,1.000000,0.840000,12,12,144,1.000000,16,16,256,1.777778,12,12,144,1.000000,1,1,1,1
fc7cae8d,dataset/raw-data/ARC-ALL/data/evaluation/fc7cae8d.json,29,29,30,30,0,841,900,1.070155,0.065556,32,32,1024,1.217598,32,32,1024,1.217598,32,32,1024,1.217598,2,4,0,0
00576224,dataset/raw-data/ARC-ALL/data/training/00576224.json,6,6,6,6,0,36,36,1.000000,0.960000,8,8,64,1.777778,8,8,64,1.777778,8,8,64,1.777778,1,1,1,1
007bbfb7,dataset/raw-data/ARC-ALL/data/training/007bbfb7.json,9,9,10,10,0,81,100,1.234568,0.910000,12,12,144,1.777778,16,16,256,3.160494,12,12,144,1.777778,1,1,1,1
009d5c81,dataset/raw-data/ARC-ALL/data/training/009d5c81.json,14,14,15,15,0,196,225,1.147959,0.782222,16,16,256,1.306122,16,16,256,1.306122,16,16,256,1.306122,1,1,1,1
00d62c1b,dataset/raw-data/ARC-ALL/data/training/00d62c1b.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,3,3,0,0
00dbd492,dataset/raw-data/ARC-ALL/data/training/00dbd492.json,20,20,20,20,0,400,400,1.000000,0.555556,20,20,400,1.000000,24,24,576,1.440000,20,20,400,1.000000,5,5,0,0
017c7c7b,dataset/raw-data/ARC-ALL/data/training/017c7c7b.json,3,9,4,10,0,27,40,1.481481,0.970000,4,12,48,1.777778,16,16,256,9.481481,12,12,144,5.333333,1,1,1,1
025d127b,dataset/raw-data/ARC-ALL/data/training/025d127b.json,10,14,10,15,0,140,150,1.071429,0.844444,12,16,192,1.371429,16,16,256,1.828571,16,16,256,1.828571,3,3,0,0
03560426,dataset/raw-data/ARC-ALL/data/training/03560426.json,10,10,10,10,0,100,100,1.000000,0.888889,12,12,144,1.440000,16,16,256,2.560000,12,12,144,1.440000,1,1,1,1
045e512c,dataset/raw-data/ARC-ALL/data/training/045e512c.json,21,21,24,24,0,441,576,1.306122,0.510000,24,24,576,1.306122,24,24,576,1.306122,24,24,576,1.306122,1,1,1,1
0520fde7,dataset/raw-data/ARC-ALL/data/training/0520fde7.json,7,3,8,4,0,21,32,1.523810,0.976667,8,4,32,1.523810,8,8,64,3.047619,8,8,64,3.047619,1,1,1,1
05269061,dataset/raw-data/ARC-ALL/data/training/05269061.json,7,7,8,8,0,49,64,1.306122,0.945556,8,8,64,1.306122,8,8,64,1.306122,8,8,64,1.306122,1,1,1,1
